                       data-stat                      1st highest                  2nd highest                  3rd highest                 1st lowest                      2nd lowest                   3rd lowest
58     carries_into_penalty_area              Mohamed Salah - 110             Jeremy Doku - 78            Noni Madueke - 75        Aaron Cresswell - 0              Aaron Ramsdale - 0       Abdukodir Khusanov - 0
59                   miscontrols              Mohamed Salah - 102              Liam Delap - 92           Morgan Rogers - 92          Alex McCarthy - 0             Alphonse Areola - 0           Antonín Kinský - 0
60                  dispossessed              Mohammed Kudus - 84         Bruno Guimarães - 72        Dejan Kulusevski - 70        Aaron Cresswell - 0              Aaron Ramsdale - 0            Alex McCarthy - 0
61               passes_received           Virgil van Dijk - 1993        Joško Gvardiol - 1984          Levi Colwill - 1903       Albert Grønbaek - 21            Odsonne Édouard - 26                    Neto - 28
62                         fouls             Antoine Semenyo - 64              João Gomes - 64              Liam Delap - 64        Albert Grønbaek - 0               Alex McCarthy - 0                  Alisson - 0
63                        fouled             Bruno Guimarães - 98          James Maddison - 63           Matheus Cunha - 63        Alphonse Areola - 0               Andrés García - 0           Antonín Kinský - 0
64                      offsides       Dominic Calvert-Lewin - 27             Jamie Vardy - 23              Chris Wood - 22        Aaron Cresswell - 0              Aaron Ramsdale - 0       Abdukodir Khusanov - 0
65                       crosses               Bryan Mbeumo - 171            Pedro Porro - 168        Bruno Fernandes - 164         Aaron Ramsdale - 0               Alex McCarthy - 0              Alex Palmer - 0
66               ball_recoveries             Moisés Caicedo - 192        Bruno Fernandes - 187          Ryan Christie - 182             Danny Ward - 1              Fraser Forster - 1  Hákon Rafn Valdimarsson - 1
67                   aerials_won                   Dan Burn - 122        Virgil van Dijk - 109         Nathan Collins - 103          Andrés García - 0                      Antony - 0            Billy Gilmour - 0
68                  aerials_lost                 Chris Wood - 117    Jean-Philippe Mateta - 95    Jørgen Strand Larsen - 94         Aaron Ramsdale - 0             Albert Grønbaek - 0            Alex McCarthy - 0
69               aerials_won_pct           Aaron Ramsdale - 100.0      Albert Grønbaek - 100.0        Alex McCarthy - 100.0        Andrés García - 0.0                    Antony - 0.0            Emi Buendía - 0.0
