,name,team,nationality,position,age,games,games_starts,minutes,goals,assists,cards_yellow,cards_red,xg,xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_pens_save_pct,shots_on_target_pct,shots_on_target_per90,goals_per_shot,average_shot_distance,passes_completed,passes_pct,passes_total_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,sca,sca_per90,gca,gca_per90,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,crosses,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
32,Anthony Gordon,Newcastle Utd,eng ENG,FW,24-056,29,25,2176,6,5,2,0,7.9,4.9,108,91,190,0.25,0.21,0.33,0.2,N/a,N/a,N/a,N/a,28.3,0.62,0.09,16.3,642,72.6,9893,85.9,77.5,41.7,49,59,49,16,96,3.97,12,0.5,31,17,34,22,24,2,22,6,1142,16,114,434,613,123,95,36.8,46.3,735,2937,54,55,28,35,820,19,62,7,119,91,5,7,41.7
33,Antoine Semenyo,Bournemouth,gh GHA,FW,25-104,32,32,2823,8,4,9,0,9.1,5.7,132,103,258,0.26,0.13,0.29,0.18,N/a,N/a,N/a,N/a,31.0,1.15,0.07,17.2,713,73.4,10210,85.0,76.7,38.0,44,47,44,8,121,3.86,12,0.38,51,33,40,26,55,7,48,8,1448,41,174,504,802,174,122,52.5,40.2,875,3299,64,64,75,69,1012,64,36,14,52,142,60,71,45.8
34,Antonee Robinson,Fulham,us USA,DF,27-256,33,32,2899,0,10,8,0,0.7,4.1,110,120,256,0.0,0.31,0.02,0.13,N/a,N/a,N/a,N/a,12.5,0.06,0.0,22.1,1481,76.6,25332,86.6,79.0,56.6,41,109,50,26,74,2.3,11,0.34,84,56,86,43,36,6,30,56,2337,121,740,891,739,65,75,44.0,41.3,1237,3913,57,29,40,18,1400,30,17,6,158,142,45,25,64.3
35,Antony,Manchester Utd,br BRA,"DF,MF",25-056,8,0,141,0,0,0,0,1.0,0.1,5,6,7,0.0,0.0,0.65,0.08,N/a,N/a,N/a,N/a,50.0,1.91,0.0,15.8,56,81.2,688,88.2,64.3,100.0,3,1,5,2,8,5.11,0,0.0,6,3,5,3,2,0,2,2,101,2,22,26,54,8,11,36.4,54.5,60,182,6,1,5,1,69,2,5,0,5,11,0,1,0.0
36,Antonín Kinský,Tottenham,cz CZE,GK,22-039,4,4,360,0,0,0,0,0.0,0.1,1,1,0,0.0,0.0,0.0,0.02,1.75,56.3,25.0,N/a,N/a,0.0,N/a,N/a,116,80.0,2699,100.0,96.1,47.9,1,2,0,0,1,0.25,0,0.0,3,1,1,0,0,0,0,0,156,134,154,2,0,0,0,N/a,N/a,97,267,0,0,0,0,98,0,0,0,0,4,2,0,100.0
37,Archie Gray,Tottenham,eng ENG,"DF,MF",19-040,23,14,1346,0,0,0,0,0.0,0.1,5,31,15,0.0,0.0,0.0,0.01,N/a,N/a,N/a,N/a,100.0,0.07,0.0,24.6,900,88.8,15780,92.5,93.0,61.4,2,37,0,0,5,0.33,0,0.0,12,6,16,10,19,10,9,10,1117,133,542,507,78,2,9,44.4,44.4,788,1492,5,0,7,10,849,9,11,0,12,56,9,8,52.9
38,Arijanet Muric,Ipswich Town,xk KVX,GK,26-165,18,18,1620,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.83,70.0,5.6,0.0,N/a,0.0,N/a,N/a,454,71.7,11705,100.0,97.3,40.6,0,14,0,0,1,0.06,0,0.0,0,0,2,2,0,0,0,0,689,559,672,18,0,0,0,N/a,N/a,405,1178,0,0,3,1,321,0,4,0,0,26,11,1,91.7
39,Armando Broja,Everton,al ALB,FW,23-223,10,4,334,0,0,1,0,0.1,0.2,12,2,26,0.0,0.0,0.03,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.0,17.3,53,72.6,594,77.8,83.3,66.7,4,3,0,0,7,1.89,0,0.0,3,1,0,0,3,0,3,1,127,4,14,47,72,18,16,50.0,43.8,64,281,8,3,16,13,94,6,4,3,1,9,18,21,46.2
40,Armel Bella Kotchap,Southampton,de GER,DF,23-131,4,2,331,0,0,0,0,0.3,0.0,0,5,0,0.0,0.0,0.09,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,9.1,202,90.2,3829,98.5,96.7,55.2,0,6,0,0,2,0.54,0,0.0,7,5,6,3,2,2,0,5,263,33,147,115,3,1,1,0.0,100.0,186,326,0,0,1,0,192,3,2,0,0,19,6,5,54.5
41,Ashley Young,Everton,eng ENG,"DF,FW",39-286,27,17,1586,1,3,6,1,0.3,1.6,19,81,25,0.06,0.17,0.02,0.09,N/a,N/a,N/a,N/a,50.0,0.17,0.17,24.5,591,69.7,10908,87.6,75.7,40.8,19,68,17,8,36,2.04,6,0.34,50,28,49,18,10,3,7,22,1015,51,311,433,276,9,14,35.7,50.0,397,1176,24,1,8,1,513,24,17,0,63,60,10,10,50.0
42,Axel Disasi,Aston Villa,fr FRA,DF,27-041,6,5,460,0,0,2,0,0.1,0.4,10,15,5,0.0,0.0,0.02,0.08,N/a,N/a,N/a,N/a,0.0,0.0,0.0,19.5,238,87.5,4012,94.3,90.8,53.3,3,14,3,0,9,1.76,0,0.0,6,4,3,2,4,1,3,5,324,32,125,174,28,6,15,60.0,40.0,204,618,8,2,3,2,219,2,2,2,1,15,8,6,57.1
43,Axel Disasi,Chelsea,fr FRA,DF,27-041,6,4,364,1,0,1,0,0.3,0.1,6,16,2,0.25,0.0,0.07,0.02,N/a,N/a,N/a,N/a,50.0,0.25,0.5,12.3,266,90.8,4218,94.4,92.9,69.2,2,20,2,0,2,0.49,0,0.0,7,4,11,5,4,1,3,2,323,17,110,175,40,2,1,100.0,0.0,196,519,3,0,1,3,242,2,0,0,0,15,5,2,71.4
44,Axel Tuanzebe,Ipswich Town,cd COD,DF,27-158,18,17,1445,0,1,5,1,0.2,0.3,9,45,8,0.0,0.06,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,15.7,535,83.1,8243,91.0,81.9,56.1,4,49,2,0,11,0.68,2,0.12,29,17,24,8,18,9,9,21,789,89,343,347,105,6,10,40.0,60.0,338,724,6,1,11,1,407,12,11,0,6,43,15,16,48.4
45,Ayden Heaven,Manchester Utd,eng ENG,DF,18-211,2,1,95,0,0,0,0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,40,81.6,695,82.4,88.9,33.3,0,2,0,0,2,1.89,0,0.0,3,3,2,0,2,2,0,1,67,21,42,23,3,1,2,100.0,0.0,42,122,1,0,2,1,40,2,3,0,0,4,1,2,33.3
46,Bart Verbruggen,Brighton,nl NED,GK,22-246,31,31,2790,0,1,5,0,0.0,0.0,0,2,0,0.0,0.03,0.0,0.0,1.68,63.7,19.4,0.0,N/a,0.0,N/a,N/a,896,78.0,21170,99.2,98.2,47.0,1,17,1,0,5,0.16,1,0.03,0,0,3,3,1,0,1,0,1226,973,1213,13,0,0,2,100.0,0.0,830,1548,1,1,2,0,789,0,2,0,0,57,10,1,90.9
47,Ben Brereton,Southampton,cl CHI,FW,26-003,10,4,449,0,0,1,0,0.9,0.1,12,9,42,0.0,0.0,0.18,0.02,N/a,N/a,N/a,N/a,9.1,0.2,0.0,17.3,128,77.1,1836,87.4,67.9,63.6,3,9,2,1,9,1.8,0,0.0,3,2,9,8,2,1,1,0,206,4,19,76,112,20,4,25.0,50.0,136,394,13,4,9,4,171,4,8,1,5,16,9,7,56.3
48,Ben Chilwell,Crystal Palace,eng ENG,DF,28-121,6,0,139,0,0,1,0,0.1,0.2,2,3,10,0.0,0.0,0.05,0.13,N/a,N/a,N/a,N/a,50.0,0.65,0.0,27.6,45,65.2,618,83.9,64.0,11.1,2,4,2,0,3,1.93,0,0.0,4,4,3,3,3,1,2,4,98,6,35,43,25,1,5,40.0,40.0,39,146,1,0,2,2,42,2,2,2,3,12,3,3,50.0
49,Ben Davies,Tottenham,wls WAL,DF,31-362,11,10,901,0,0,3,0,0.3,0.2,7,43,5,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,25.0,0.1,0.0,12.9,662,90.1,12311,93.2,95.0,70.0,2,35,1,0,4,0.4,0,0.0,10,6,12,7,18,11,7,10,848,147,444,369,35,11,1,100.0,0.0,492,1323,5,0,4,0,577,11,3,0,2,30,39,33,54.2
50,Ben Godfrey,Ipswich Town,eng ENG,DF,27-096,2,2,108,0,0,1,0,0.0,0.0,2,4,1,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,46,83.6,632,90.9,88.2,N/a,0,5,1,0,1,0.83,0,0.0,0,0,0,0,1,1,0,2,63,3,22,32,9,1,0,N/a,N/a,33,79,2,0,2,1,40,1,0,0,0,2,2,0,100.0
51,Ben Johnson,Ipswich Town,eng ENG,"DF,FW",25-087,21,13,1312,1,2,3,0,1.1,1.3,16,25,32,0.07,0.14,0.07,0.09,N/a,N/a,N/a,N/a,42.9,0.21,0.14,12.6,292,71.7,4751,86.5,75.0,49.0,12,21,2,2,23,1.58,5,0.34,35,22,39,21,21,5,16,13,609,58,238,214,160,12,23,30.4,60.9,254,575,12,3,22,17,284,25,6,1,36,55,19,18,51.4
52,Ben Mee,Brentford,eng ENG,DF,35-212,7,2,183,0,0,2,0,0.0,0.0,3,11,2,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,93,77.5,1751,89.5,85.0,40.0,0,10,0,0,0,0.0,0,0.0,2,2,1,0,3,3,0,4,138,18,66,62,11,3,0,N/a,N/a,78,274,1,1,0,0,86,5,0,0,0,11,5,5,50.0
53,Ben White,Arsenal,eng ENG,DF,27-195,13,9,856,0,1,2,0,0.4,0.8,10,42,27,0.0,0.11,0.04,0.09,N/a,N/a,N/a,N/a,14.3,0.11,0.0,19.1,421,83.9,6839,91.9,85.4,47.6,7,37,8,1,15,1.58,1,0.11,12,8,24,14,9,7,2,12,585,44,167,262,160,19,3,0.0,66.7,275,556,10,3,8,3,358,8,4,1,10,24,11,3,78.6
54,Benoît Badiashile,Chelsea,fr FRA,DF,24-026,5,3,334,0,0,0,0,0.0,0.0,3,17,2,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,273,89.8,4820,93.3,93.8,65.6,0,37,1,0,0,0.0,0,0.0,9,6,5,1,2,2,0,6,336,31,138,186,13,0,1,0.0,100.0,177,340,5,0,1,0,247,6,2,0,0,18,8,2,80.0
55,Bernardo Silva,Manchester City,pt POR,"MF,FW",30-254,28,24,2221,2,4,6,0,3.0,4.2,88,105,179,0.08,0.16,0.12,0.17,N/a,N/a,N/a,N/a,33.3,0.36,0.07,13.0,1217,86.6,18489,91.7,88.2,64.8,42,66,29,7,78,3.16,8,0.32,48,31,49,26,28,7,21,19,1621,38,279,638,721,126,55,45.5,41.8,1016,3288,56,30,19,30,1197,23,26,3,50,85,4,10,28.6
56,Bernd Leno,Fulham,de GER,GK,33-048,33,33,2970,0,1,4,0,0.0,0.1,0,0,0,0.0,0.03,0.0,0.0,1.36,68.4,15.2,0.0,N/a,0.0,N/a,N/a,1006,80.7,24667,99.5,99.0,46.5,2,15,2,0,5,0.15,2,0.06,2,2,2,0,1,0,1,0,1304,1045,1295,9,0,0,0,N/a,N/a,862,1889,0,0,0,0,766,0,3,0,0,47,9,0,100.0
