,name,team,nationality,position,age,games,games_starts,minutes,goals,assists,cards_yellow,cards_red,xg,xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_pens_save_pct,shots_on_target_pct,shots_on_target_per90,goals_per_shot,average_shot_distance,passes_completed,passes_pct,passes_total_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,sca,sca_per90,gca,gca_per90,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,crosses,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
179,Iliman Ndiaye,Everton,sn SEN,FW,25-046,28,25,2117,7,0,3,0,5.2,1.6,78,44,105,0.3,0.0,0.22,0.07,N/a,N/a,N/a,N/a,41.9,0.55,0.16,17.3,506,80.4,7654,85.8,85.6,69.4,17,34,14,5,58,2.47,5,0.21,47,25,44,25,24,4,20,17,941,32,194,387,408,74,132,46.2,47.0,543,2140,39,29,48,38,571,21,44,5,35,158,5,17,22.7
180,Illia Zabarnyi,Bournemouth,ua UKR,DF,22-232,31,30,2662,0,0,3,1,1.0,0.6,24,123,4,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,8.8,1199,81.6,25439,90.7,90.8,53.2,11,129,6,0,28,0.95,0,0.0,46,32,43,13,32,19,13,34,1772,207,825,901,65,11,8,62.5,25.0,1106,4285,20,0,14,3,1109,17,6,0,5,140,67,37,64.4
181,Ismaila Sarr,Crystal Palace,sn SEN,"MF,FW",27-055,33,26,2364,7,4,4,0,8.3,6.9,63,76,160,0.27,0.15,0.31,0.26,N/a,N/a,N/a,N/a,53.3,0.91,0.16,13.6,431,66.5,6468,74.4,71.0,46.5,36,26,36,8,96,3.65,9,0.34,21,10,23,16,22,7,15,8,941,39,154,365,432,112,50,28.0,54.0,515,1807,41,24,61,41,638,12,48,11,47,97,31,46,40.3
182,Issa Diop,Fulham,fr FRA,DF,28-102,21,15,1339,0,0,2,0,0.5,0.1,6,25,3,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,40.0,0.13,0.0,10.7,663,87.5,12350,92.5,92.9,52.9,3,43,1,0,6,0.4,0,0.0,26,12,18,5,10,7,3,9,903,125,498,381,26,13,2,50.0,50.0,533,1216,2,0,9,2,617,10,4,0,1,45,20,12,62.5
183,Jack Clarke,Ipswich Town,eng ENG,"FW,MF",24-149,27,10,994,0,4,2,0,1.0,2.0,29,32,47,0.0,0.36,0.09,0.18,N/a,N/a,N/a,N/a,14.3,0.18,0.0,19.4,253,76.7,4122,87.3,87.6,46.4,22,23,6,0,38,3.44,5,0.45,28,17,31,15,6,0,6,7,457,20,110,186,175,29,37,56.8,32.4,261,947,18,9,19,15,282,14,19,3,13,64,6,14,30.0
184,Jack Grealish,Manchester City,eng ENG,"FW,MF",29-223,19,7,720,1,1,3,0,1.1,1.8,69,52,118,0.12,0.12,0.14,0.23,N/a,N/a,N/a,N/a,33.3,0.62,0.07,16.3,381,87.6,5676,93.2,87.8,69.2,24,23,16,0,47,5.87,2,0.25,9,5,5,3,12,2,10,2,519,14,40,162,324,71,29,44.8,31.0,375,1714,23,46,10,16,422,5,25,0,20,26,1,7,12.5
185,Jack Harrison,Everton,eng ENG,FW,28-152,29,21,1825,1,0,0,0,3.3,3.7,60,43,114,0.05,0.0,0.16,0.18,N/a,N/a,N/a,N/a,22.2,0.3,0.04,16.3,363,63.5,5743,81.3,69.5,33.0,31,25,23,9,52,2.56,4,0.2,30,21,40,26,18,2,16,8,836,30,141,290,412,62,71,31.0,57.7,458,1382,29,14,47,36,538,13,25,4,112,63,4,26,13.3
186,Jack Hinshelwood,Brighton,eng ENG,"DF,MF",20-010,21,19,1595,2,1,4,0,1.4,1.2,16,55,44,0.11,0.06,0.08,0.07,N/a,N/a,N/a,N/a,46.2,0.34,0.15,13.2,745,82.9,11324,91.4,83.7,52.1,12,29,8,2,30,1.69,2,0.11,25,18,24,14,7,3,4,14,1036,47,293,479,269,25,9,11.1,77.8,494,998,18,1,16,2,641,14,5,0,26,51,19,13,59.4
187,Jack Stephens,Southampton,eng ENG,DF,31-084,15,13,1074,0,0,2,2,0.3,0.2,13,49,2,0.0,0.0,0.03,0.01,N/a,N/a,N/a,N/a,33.3,0.08,0.0,12.1,729,92.0,12666,92.6,94.9,81.3,3,46,5,0,12,1.01,0,0.0,30,18,24,10,11,8,3,11,899,96,369,446,88,10,4,0.0,100.0,505,1086,11,1,1,3,640,12,3,1,0,39,6,6,50.0
188,Jack Taylor,Ipswich Town,ie IRL,MF,26-302,27,1,600,1,0,3,0,0.7,0.5,11,37,18,0.15,0.0,0.1,0.08,N/a,N/a,N/a,N/a,23.5,0.6,0.06,23.2,260,81.5,4586,86.3,86.6,55.9,5,27,8,1,20,3.0,1,0.15,15,7,17,8,7,2,5,6,403,22,110,219,85,8,9,44.4,33.3,205,666,9,1,9,6,263,14,4,0,6,39,7,5,58.3
189,Jacob Greaves,Ipswich Town,eng ENG,DF,24-221,20,20,1755,1,0,4,0,1.2,0.0,6,48,5,0.05,0.0,0.06,0.0,N/a,N/a,N/a,N/a,50.0,0.21,0.13,8.3,773,87.0,12688,93.1,91.8,41.4,2,56,1,0,12,0.62,0,0.0,28,13,24,9,31,22,9,18,1097,234,600,439,62,15,2,50.0,50.0,520,924,9,0,8,2,689,9,16,1,0,43,54,38,58.7
190,Jacob Murphy,Newcastle Utd,eng ENG,FW,30-056,30,26,2018,8,11,3,0,5.5,7.8,67,61,187,0.36,0.49,0.25,0.35,N/a,N/a,N/a,N/a,38.5,0.67,0.21,17.9,562,68.5,8420,84.4,67.2,42.2,36,45,32,13,68,3.04,12,0.54,22,15,30,14,30,0,30,11,1056,20,157,399,511,76,60,50.0,46.7,621,1983,30,23,28,33,755,11,11,3,93,86,4,15,21.1
191,Jacob Ramsey,Aston Villa,eng ENG,"FW,MF",23-328,25,17,1425,1,3,2,0,1.4,2.1,55,62,101,0.06,0.19,0.09,0.13,N/a,N/a,N/a,N/a,23.5,0.25,0.06,16.1,456,85.2,5995,91.8,83.8,70.6,18,29,19,1,48,3.03,7,0.44,28,15,19,10,20,3,17,7,691,12,129,243,330,64,38,57.9,23.7,455,1552,30,19,38,20,527,12,23,5,10,71,6,10,37.5
192,Jaden Philogene Bidace,Aston Villa,eng ENG,"FW,MF",23-072,11,2,332,0,0,4,1,0.5,0.3,7,4,17,0.0,0.0,0.13,0.08,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.0,63,73.3,850,81.6,85.7,66.7,1,1,3,0,5,1.36,0,0.0,11,5,6,2,5,0,5,3,145,4,27,54,66,14,15,26.7,53.3,75,239,5,7,7,3,83,12,8,1,4,21,0,5,0.0
193,Jaden Philogene Bidace,Ipswich Town,eng ENG,"FW,DF",23-072,10,5,474,2,0,1,0,2.0,0.2,13,10,36,0.38,0.0,0.37,0.05,N/a,N/a,N/a,N/a,41.7,0.95,0.17,16.4,95,72.5,1536,84.4,73.2,50.0,5,7,4,3,9,1.71,0,0.0,14,7,15,7,11,1,10,10,220,10,53,68,101,18,18,27.8,61.1,127,305,3,5,11,10,133,8,10,1,13,23,5,3,62.5
194,Jadon Sancho,Chelsea,eng ENG,FW,25-027,27,18,1655,3,4,1,0,2.0,3.4,94,88,212,0.16,0.22,0.11,0.19,N/a,N/a,N/a,N/a,30.4,0.38,0.13,15.4,622,82.4,8420,89.0,83.8,51.9,35,23,47,0,65,3.53,10,0.54,10,6,12,7,9,0,9,2,913,11,112,265,546,114,94,46.8,40.4,609,2338,33,55,29,21,713,6,11,5,23,96,5,10,33.3
195,Jahmai Simpson-Pusey,Manchester City,eng ENG,DF,19-168,2,1,96,0,0,1,0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,107,93.0,1754,95.9,96.6,42.9,0,3,0,0,0,0.0,0,0.0,1,0,1,1,1,1,0,0,123,9,61,59,3,1,1,0.0,0.0,79,190,0,0,1,0,101,0,1,0,0,3,1,3,25.0
196,Jake O'Brien,Everton,ie IRL,DF,23-341,16,13,1211,2,0,4,0,0.7,0.6,7,39,24,0.15,0.0,0.05,0.04,N/a,N/a,N/a,N/a,60.0,0.22,0.4,11.5,410,75.4,7332,87.7,75.6,60.8,6,36,8,5,14,1.04,0,0.0,19,13,20,7,14,4,10,3,686,56,273,283,132,18,9,33.3,55.6,282,500,5,2,5,5,343,10,3,3,17,46,31,22,58.5
197,Jakub Kiwior,Arsenal,pl POL,DF,25-065,12,5,672,0,0,0,0,0.1,0.3,4,23,0,0.0,0.0,0.02,0.03,N/a,N/a,N/a,N/a,0.0,0.0,0.0,20.6,376,89.5,6641,93.1,95.0,52.9,3,28,1,0,5,0.67,0,0.0,11,5,10,3,6,3,3,2,475,51,163,269,43,3,3,66.7,33.3,268,592,2,1,2,1,352,8,3,0,1,17,8,7,53.3
198,Jakub Stolarczyk,Leicester City,pl POL,GK,24-123,6,6,540,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.0,58.6,0.0,N/a,N/a,0.0,N/a,N/a,152,67.9,4176,100.0,97.9,45.0,0,2,0,0,0,0.0,0,0.0,2,1,2,1,0,0,0,0,241,179,236,6,0,0,0,N/a,N/a,130,396,0,0,1,0,131,0,0,0,0,7,3,0,100.0
199,James Bree,Southampton,eng ENG,DF,27-192,14,11,890,0,1,0,0,0.1,0.9,9,30,34,0.0,0.1,0.01,0.09,N/a,N/a,N/a,N/a,25.0,0.1,0.0,22.7,437,83.9,6984,90.8,88.3,51.1,10,25,6,5,15,1.52,1,0.1,15,10,17,10,8,3,5,8,598,42,194,261,148,10,8,50.0,25.0,316,688,11,0,6,4,385,2,4,0,24,56,12,4,75.0
200,James Garner,Everton,eng ENG,"MF,DF",24-039,16,12,1144,0,1,3,0,0.3,1.3,9,33,22,0.0,0.08,0.02,0.1,N/a,N/a,N/a,N/a,28.6,0.16,0.0,24.1,385,71.6,6687,82.3,81.4,44.8,11,34,5,2,28,2.2,4,0.31,34,22,32,15,14,3,11,16,665,29,169,316,186,9,14,42.9,57.1,301,462,12,1,10,7,341,16,12,0,48,58,10,8,55.6
201,James Hill,Bournemouth,eng ENG,DF,23-101,10,6,448,0,1,1,0,0.3,0.3,3,16,8,0.0,0.2,0.06,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.0,13.9,159,64.9,3098,76.1,77.3,36.2,3,20,6,0,8,1.61,1,0.2,15,8,11,8,5,0,5,9,319,19,99,167,54,8,2,50.0,50.0,146,295,6,0,2,0,179,7,5,0,10,13,14,12,53.8
202,James Justin,Leicester City,eng ENG,DF,27-057,31,30,2534,2,1,5,0,1.5,0.5,36,80,90,0.07,0.04,0.05,0.02,N/a,N/a,N/a,N/a,25.0,0.21,0.08,16.0,1023,77.4,15721,86.5,83.8,33.3,12,66,21,7,31,1.1,1,0.04,48,29,49,22,38,12,26,42,1675,130,587,743,355,36,28,32.1,42.9,746,1533,25,4,30,13,921,20,34,2,53,75,57,46,55.3
203,James Maddison,Tottenham,eng ENG,MF,28-149,30,20,1764,9,6,6,0,5.8,4.1,43,160,92,0.46,0.31,0.3,0.21,N/a,N/a,N/a,N/a,43.6,0.87,0.23,16.7,1001,81.3,16292,90.9,86.0,45.9,39,121,32,5,92,4.7,17,0.87,30,18,28,19,15,4,11,11,1438,25,207,677,567,76,74,41.9,44.6,1010,2227,39,19,23,24,1112,31,63,4,95,73,5,7,41.7
204,James Mcatee,Manchester City,eng ENG,"MF,FW",22-185,12,1,224,3,0,1,0,2.7,0.3,7,6,18,1.21,0.0,1.1,0.13,N/a,N/a,N/a,N/a,36.4,1.61,0.27,13.6,70,81.4,1082,85.7,86.5,50.0,2,6,2,0,3,1.21,1,0.4,4,2,5,4,4,0,4,1,118,2,13,53,53,16,6,33.3,66.7,67,177,5,1,3,1,87,5,1,0,3,7,1,3,25.0
205,James Milner,Brighton,eng ENG,MF,39-107,3,3,169,0,0,1,0,0.2,0.2,1,10,10,0.0,0.0,0.09,0.12,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.0,55,75.3,899,92.9,76.7,40.0,4,3,1,1,8,4.26,0,0.0,5,2,3,0,4,2,2,2,92,3,13,48,31,4,1,100.0,0.0,46,97,1,0,0,0,58,3,1,0,8,2,0,1,0.0
206,James Tarkowski,Everton,eng ENG,DF,32-153,33,33,2922,1,1,6,0,1.3,2.9,9,75,3,0.03,0.03,0.04,0.09,N/a,N/a,N/a,N/a,26.7,0.12,0.07,8.4,1045,81.0,22119,84.5,91.9,62.7,16,83,11,0,38,1.17,4,0.12,64,40,39,15,57,42,15,41,1706,355,974,635,106,57,7,71.4,28.6,727,1943,10,0,13,7,927,35,28,2,1,98,102,33,75.6
207,James Ward-Prowse,Nott'ham Forest,eng ENG,MF,30-171,9,5,400,0,1,2,1,0.1,1.1,1,16,3,0.0,0.23,0.01,0.25,N/a,N/a,N/a,N/a,50.0,0.23,0.0,29.0,145,79.7,2296,93.2,86.9,34.8,4,16,2,0,10,2.25,2,0.45,4,1,2,0,3,2,1,5,205,13,49,115,45,1,0,N/a,N/a,92,170,3,0,3,3,115,7,2,0,19,19,3,5,37.5
208,James Ward-Prowse,West Ham,eng ENG,MF,30-171,10,8,757,0,1,2,0,0.5,1.1,9,43,3,0.0,0.12,0.06,0.13,N/a,N/a,N/a,N/a,33.3,0.24,0.0,20.3,487,87.1,8180,95.5,91.7,54.8,12,56,4,1,22,2.62,1,0.12,12,9,12,9,6,3,3,5,615,28,141,368,106,5,4,50.0,50.0,285,613,12,0,3,5,421,8,2,0,37,39,5,4,55.6
209,Jamie Vardy,Leicester City,eng ENG,FW,38-100,31,31,2482,7,3,5,0,9.4,2.9,27,20,104,0.25,0.11,0.34,0.11,N/a,N/a,N/a,N/a,40.8,0.73,0.12,11.8,230,67.4,3279,74.9,78.7,64.7,18,10,9,1,40,1.45,9,0.33,18,13,11,7,8,4,4,3,520,26,52,241,232,99,20,45.0,50.0,249,623,11,14,32,12,337,20,19,23,10,34,47,50,48.5
210,Jan Bednarek,Southampton,pl POL,DF,29-009,27,27,2261,2,0,7,0,0.7,0.5,4,58,1,0.08,0.0,0.03,0.02,N/a,N/a,N/a,N/a,40.0,0.08,0.4,16.0,1472,92.5,25994,95.5,94.4,76.0,5,70,1,0,16,0.64,0,0.0,35,18,30,15,43,32,11,52,1917,345,1001,883,40,15,3,100.0,0.0,976,1615,5,1,9,3,1229,30,11,0,1,100,66,33,66.7
211,Jan Paul van Hecke,Brighton,nl NED,DF,24-317,30,29,2598,1,1,8,1,1.3,1.5,53,209,5,0.03,0.03,0.04,0.05,N/a,N/a,N/a,N/a,31.3,0.17,0.06,14.1,1795,87.9,35321,93.0,93.0,65.6,13,202,16,4,48,1.66,3,0.1,39,25,37,17,32,19,13,23,2316,246,987,1196,153,30,10,40.0,40.0,1536,6643,41,0,12,7,1628,22,22,0,11,119,73,48,60.3
212,Jannik Vestergaard,Leicester City,dk DEN,DF,32-261,18,16,1391,0,0,5,0,0.1,0.1,3,32,2,0.0,0.0,0.01,0.01,N/a,N/a,N/a,N/a,66.7,0.13,0.0,9.7,870,90.7,14697,95.0,93.7,59.3,3,34,1,0,7,0.45,0,0.0,22,10,15,6,21,14,7,16,1092,196,572,497,28,10,4,100.0,0.0,672,1458,3,0,2,0,757,12,4,0,0,46,26,19,57.8
213,Jarell Quansah,Liverpool,eng ENG,DF,22-082,11,2,315,0,0,1,0,0.1,0.1,2,12,4,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,8.9,206,90.4,3720,97.4,91.3,65.0,1,18,1,0,2,0.57,0,0.0,10,7,7,2,5,5,0,5,272,36,134,113,25,5,2,50.0,50.0,165,483,3,1,4,2,190,7,1,0,2,9,5,8,38.5
214,Jarrad Branthwaite,Everton,eng ENG,DF,22-298,26,24,2168,0,1,4,0,1.1,0.6,9,54,1,0.0,0.04,0.05,0.02,N/a,N/a,N/a,N/a,37.5,0.12,0.0,8.2,790,81.2,15498,89.2,90.7,53.6,2,71,2,0,12,0.5,2,0.08,33,18,25,7,28,20,8,23,1263,181,667,547,56,22,5,60.0,20.0,601,1996,13,2,8,3,725,8,14,1,2,77,48,34,58.5
215,Jarrod Bowen,West Ham,eng ENG,"FW,MF",28-122,29,29,2541,9,5,1,0,7.4,5.4,93,84,176,0.32,0.18,0.26,0.19,N/a,N/a,N/a,N/a,41.1,1.06,0.11,17.7,488,71.4,8051,83.4,77.4,52.4,45,37,40,6,97,3.44,11,0.39,36,23,37,20,21,3,18,16,1064,24,121,388,578,145,113,35.4,56.6,629,2176,41,51,66,66,694,17,46,8,95,117,9,41,18.0
216,Jason Steele,Brighton,eng ENG,GK,34-246,2,2,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.5,75.0,50.0,N/a,N/a,0.0,N/a,N/a,101,90.2,2321,100.0,96.9,65.4,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,114,107,114,0,0,0,0,N/a,N/a,91,151,0,0,0,0,83,0,1,0,0,7,1,1,50.0
217,Jean-Clair Todibo,West Ham,fr FRA,DF,25-112,22,15,1395,0,0,2,0,0.2,0.0,9,27,4,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,14.6,712,87.6,12639,92.8,94.7,45.1,2,37,1,0,5,0.32,0,0.0,36,22,29,6,21,11,10,20,985,137,561,398,34,9,13,53.8,46.2,566,1320,5,0,9,7,674,10,5,0,2,57,23,23,50.0
218,Jean-Philippe Mateta,Crystal Palace,fr FRA,FW,27-297,32,30,2431,13,2,2,0,12.0,3.0,36,45,114,0.48,0.07,0.45,0.11,N/a,N/a,N/a,N/a,40.7,0.89,0.19,15.3,267,65.0,3528,76.3,62.7,31.8,26,30,14,1,54,2.0,7,0.26,17,12,16,13,16,3,13,2,675,24,57,326,306,86,41,41.5,48.8,359,879,20,8,67,41,498,27,26,17,23,59,58,95,37.9
219,Jean-Ricner Bellegarde,Wolves,fr FRA,"MF,FW",26-298,30,18,1479,2,6,3,0,1.3,3.6,46,35,80,0.12,0.37,0.08,0.22,N/a,N/a,N/a,N/a,25.0,0.3,0.1,21.7,401,79.4,6195,89.7,80.8,58.8,26,27,15,7,53,3.23,10,0.61,32,18,18,6,17,3,14,10,718,23,126,325,283,41,58,22.4,53.4,442,1345,34,10,36,23,496,29,39,1,37,55,8,18,30.8
220,Jefferson Lerma,Crystal Palace,co COL,"MF,DF",30-178,28,22,1940,0,1,8,0,1.0,1.5,11,83,24,0.0,0.05,0.05,0.07,N/a,N/a,N/a,N/a,29.2,0.32,0.0,19.4,742,75.2,12959,86.7,80.6,45.2,9,77,16,2,41,1.9,3,0.14,27,13,31,16,31,15,16,34,1219,91,381,631,217,26,12,50.0,33.3,566,956,10,0,13,15,713,32,35,0,9,136,39,38,50.6
221,Jeffrey Schlupp,Crystal Palace,gh GHA,"MF,DF",32-119,12,0,103,0,0,0,0,0.2,0.2,4,5,9,0.0,0.0,0.14,0.14,N/a,N/a,N/a,N/a,50.0,1.75,0.0,17.7,39,78.0,591,84.2,78.3,50.0,3,4,2,0,7,6.06,0,0.0,2,0,3,3,6,0,6,0,79,2,9,31,41,6,1,100.0,0.0,30,67,1,1,7,0,41,1,0,0,4,6,3,4,42.9
222,Jens Cajuste,Ipswich Town,se SWE,MF,25-254,26,23,1774,1,0,2,0,0.5,0.6,23,47,16,0.05,0.0,0.02,0.03,N/a,N/a,N/a,N/a,10.0,0.05,0.1,21.3,573,82.4,9471,88.8,85.7,50.0,11,45,5,1,30,1.52,1,0.05,39,19,47,28,24,9,15,25,905,59,261,476,182,11,45,53.3,33.3,421,1175,21,3,21,14,522,21,21,0,9,98,12,20,37.5
223,Jeremy Doku,Manchester City,be BEL,"FW,MF",22-329,24,14,1290,3,4,1,0,1.0,3.5,172,62,231,0.21,0.28,0.07,0.25,N/a,N/a,N/a,N/a,37.5,0.63,0.13,18.2,511,79.5,7164,86.7,82.0,66.7,24,10,41,5,61,4.26,10,0.7,28,19,14,7,10,1,9,4,868,4,40,203,648,120,171,56.1,28.1,668,3984,80,78,50,50,719,7,29,5,47,51,0,10,0.0
224,Jesper Lindstrøm,Everton,dk DEN,FW,25-051,25,15,1239,0,1,2,0,2.1,2.0,30,25,81,0.0,0.07,0.15,0.15,N/a,N/a,N/a,N/a,35.7,0.73,0.0,21.0,297,69.4,4593,86.2,65.7,44.6,19,18,12,7,46,3.35,1,0.07,45,25,55,36,15,3,12,12,625,22,127,206,303,40,43,18.6,72.1,302,780,19,7,31,24,347,15,10,1,71,70,6,12,33.3
225,Joachim Andersen,Fulham,dk DEN,DF,28-325,24,24,2133,0,0,5,1,0.5,0.3,13,101,1,0.0,0.0,0.02,0.01,N/a,N/a,N/a,N/a,23.1,0.13,0.0,17.7,1361,82.4,30369,91.9,93.3,55.6,3,164,5,2,24,1.02,2,0.08,24,17,19,6,28,22,6,30,1914,279,1006,847,71,15,6,66.7,0.0,1113,2578,8,1,4,3,1326,15,15,0,8,98,53,34,60.9
226,Joe Aribo,Southampton,ng NGA,"MF,DF",28-274,30,20,1909,3,0,1,0,2.7,1.6,35,71,64,0.14,0.0,0.13,0.07,N/a,N/a,N/a,N/a,41.2,0.33,0.18,14.0,878,88.5,13041,91.3,90.9,68.9,16,50,4,1,37,1.75,1,0.05,44,30,34,17,24,9,15,20,1203,46,288,632,294,44,46,39.1,47.8,708,1923,28,12,25,16,879,20,28,1,10,110,25,21,54.3
227,Joe Gomez,Liverpool,eng ENG,DF,27-333,9,6,519,0,0,1,0,0.3,0.1,5,35,2,0.0,0.0,0.06,0.02,N/a,N/a,N/a,N/a,66.7,0.35,0.0,11.9,377,88.7,6689,91.2,93.6,61.9,2,29,0,0,5,0.87,1,0.17,13,10,16,5,9,6,3,7,481,54,183,264,37,5,0,N/a,N/a,303,947,2,1,1,2,335,2,3,0,2,34,9,4,69.2
228,Joe Lumley,Southampton,eng ENG,GK,30-065,3,3,270,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.33,65.0,0.0,N/a,N/a,0.0,N/a,N/a,106,70.2,2342,95.5,91.3,35.6,0,2,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,164,116,161,3,0,0,0,N/a,N/a,103,296,0,0,0,0,108,0,0,0,0,2,2,1,66.7
229,Joe Willock,Newcastle Utd,eng ENG,"MF,FW",25-244,28,9,887,0,2,2,0,1.2,1.6,31,34,68,0.0,0.2,0.12,0.17,N/a,N/a,N/a,N/a,21.4,0.3,0.0,16.4,237,81.7,3385,88.3,86.6,41.2,18,21,8,0,38,3.86,4,0.41,24,14,27,9,21,4,17,5,433,12,67,183,191,37,31,35.5,45.2,265,828,22,11,31,22,300,19,11,3,13,34,3,10,23.1
230,Joelinton,Newcastle Utd,br BRA,"MF,FW",28-250,29,29,2393,4,3,10,0,3.9,2.5,40,116,110,0.15,0.11,0.15,0.09,N/a,N/a,N/a,N/a,28.9,0.49,0.09,14.0,863,82.7,12199,87.7,86.6,60.0,23,80,17,2,61,2.29,9,0.34,57,35,44,19,37,7,30,23,1360,67,256,670,448,83,46,32.6,60.9,729,1786,26,9,39,53,934,58,35,7,16,149,59,46,56.2
231,John McGinn,Aston Villa,sct SCO,"MF,FW",30-185,29,24,1962,1,3,7,0,2.9,3.4,30,89,68,0.05,0.14,0.13,0.15,N/a,N/a,N/a,N/a,19.2,0.23,0.04,16.2,631,82.9,10599,91.5,86.4,59.8,27,60,27,7,66,3.03,6,0.28,30,21,26,15,20,2,18,13,954,26,149,513,302,51,43,39.5,27.9,526,1139,16,6,32,25,671,43,61,3,50,91,15,8,65.2
232,John Stones,Manchester City,eng ENG,"DF,MF",30-328,11,6,548,2,0,1,0,0.4,0.1,10,21,2,0.33,0.0,0.07,0.01,N/a,N/a,N/a,N/a,100.0,0.33,1.0,5.1,367,91.1,6382,94.4,92.5,77.5,2,42,0,0,8,1.31,2,0.33,6,2,5,0,5,3,2,4,442,40,142,234,68,4,2,100.0,0.0,292,1183,14,0,2,0,333,2,2,0,0,22,8,6,57.1
233,Jonny Evans,Manchester Utd,nir NIR,DF,37-108,6,3,290,0,0,1,0,0.1,0.0,1,8,2,0.0,0.0,0.03,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,8.4,174,88.8,2809,94.3,90.0,50.0,0,9,1,0,2,0.62,0,0.0,7,5,4,2,2,1,1,4,223,30,125,91,11,2,1,100.0,0.0,128,183,0,0,1,0,137,5,6,0,0,15,8,3,72.7
234,Jordan Ayew,Leicester City,gh GHA,"FW,MF",33-222,25,15,1310,4,0,5,0,2.8,0.8,38,31,68,0.27,0.0,0.19,0.05,N/a,N/a,N/a,N/a,28.0,0.48,0.12,18.4,316,72.3,4618,85.7,73.5,35.6,12,20,11,6,30,2.06,1,0.07,24,13,19,13,14,0,14,12,649,18,89,331,251,46,52,36.5,51.9,389,1195,30,7,51,31,434,27,43,5,47,81,33,53,38.4
235,Jordan Pickford,Everton,eng ENG,GK,31-045,33,33,2970,0,1,7,0,0.0,0.4,0,0,0,0.0,0.03,0.0,0.01,1.21,70.8,30.3,100.0,N/a,0.0,N/a,N/a,899,65.6,28986,99.2,98.4,46.2,2,66,8,0,12,0.36,2,0.06,1,0,2,1,0,0,0,1,1466,955,1401,66,0,0,0,N/a,N/a,822,2940,0,0,2,0,723,0,6,0,0,29,4,1,80.0
236,Jorge Cuenca,Fulham,es ESP,DF,25-155,6,3,259,0,0,0,0,0.0,0.0,0,9,0,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,13.1,102,83.6,1768,89.5,88.2,42.9,0,7,0,0,1,0.35,0,0.0,2,2,5,3,3,3,0,2,152,23,88,59,6,1,2,100.0,0.0,65,116,1,0,1,0,92,2,2,0,1,9,6,3,66.7
237,Jorginho,Arsenal,it ITA,MF,33-122,14,9,703,0,0,5,0,0.1,0.4,12,48,6,0.0,0.0,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.0,23.2,410,86.7,6450,91.5,88.4,58.3,3,44,10,0,12,1.55,0,0.0,12,4,20,12,3,0,3,7,519,9,92,303,130,3,4,25.0,50.0,302,874,13,0,10,9,388,15,17,0,1,54,1,6,14.3
238,Joshua Acheampong,Chelsea,eng ENG,DF,18-351,4,2,170,0,0,1,0,0.2,0.0,0,8,0,0.0,0.0,0.12,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,8.9,104,83.9,2025,90.6,92.6,55.0,0,6,0,0,2,1.06,0,0.0,2,1,2,0,1,0,1,1,137,7,48,81,8,3,2,50.0,0.0,106,409,2,0,2,0,111,0,1,0,0,7,1,6,14.3
239,Joshua Zirkzee,Manchester Utd,nl NED,"FW,MF",23-334,32,14,1402,3,1,2,0,4.8,1.5,14,44,69,0.19,0.06,0.31,0.1,N/a,N/a,N/a,N/a,39.3,0.71,0.11,13.1,292,71.2,3600,78.1,74.4,50.0,12,26,6,0,31,1.99,3,0.19,14,8,10,5,15,4,11,6,587,16,71,303,219,56,35,31.4,68.6,327,523,21,4,41,30,418,9,13,3,4,57,21,54,28.0
